Carburetor Part list,,,,,
72,"Spring, Pilot Adjusting",1,—,part number changed,
,2J4-14589-00-00,,,,
,"Spring, Pilot Adjusting",,—,not available,
,999-99999-99-00,,,,
73,"Screw, Thrtl Stop",1,—,part number changed,
,2H6-14121-00-00,,,,
,"Screw, Thrtl Stop",,—,out of production,
,48U-14103-00-00,,,,
74,??????? ????????,1,—,part number changed,
,2J2-14133-00-00,,,,
,??????? ????????,,—,JP¥564,
,8X0-14500-00-00,,,US$3.56,
75,Lever,1,—,part number changed,
,3H1-14573-00-00,,,,
,Lever,,—,not available,
,999-99999-99-00,,,,
76,"Spring, Thrtl Stop",1,—,part number changed,
,583-14133-00-00,,,,
,"Spring, Thrtl Stop",,—,not available,
,999-99999-99-00,,,,
77,"Screw, Pan Head",1,—,part number changed,
,583-14245-00-00,,,,
,"Screw, Pan Head",,—,not available,
,999-99999-99-00,,,,
78,"Screw, Pan Head",2,0.005 kg,JP¥188,
,98580-05012-00,,,US$1.19,
79,????????????,1,—,part number changed,
,583-14131-01-00,,,,
,????????????,,—,not available,
,999-99999-99-00,,,,
80,"Bracket, Throttle",1,—,out of production,
,3H1-14571-00-00,,,,
81,COLLAR,1,—,out of production,
,2H0-14534-00-00,,,,
82,Pipe,1,0.03 kg,"JP¥2,222",
,2J2-14196-00-00,,,US$14.02,
83,HOSE,1,—,part number changed,
,90445-081F2-00,,,,
,HOSE,,0.02 kg,JP¥441,
,90445-08684-00,,,US$2.78,
84,"Screw, Pan Head",4,0.01 kg,part number changed,
,98580-05016-00,,,,
,"Screw, Pan Head",,0.01 kg,JP¥275,
,97885-05016-00,,,US$1.73,
85,"Washer, Plate",4,0.005 kg,JP¥111,
,92990-05100-00,,,US$0.70,
86,"Screw, Pan Head",4,—,part number changed,
,98511-04012-00,,,,
,"Screw, Pan Head",,0.003 kg,JP¥95,
,98517-04012-00,,,US$0.60,
87,"Washer, Plate",4,—,part number changed,
,92901-04100-00,,,,
,"Washer, Plate",,0.001 kg,JP¥111,
,92990-04100-00,,,US$0.70,
88,ROD,1,—,part number changed,
,3H1-14992-00-00,,,,
,ROD,,—,not available,
,999-99999-99-00,,,,
